Empresa,Ticker1,Ticker2,Ticker3
Schlumberger,SLBG34,,
Halliburton,HALI34,,
Cophillips,COPH34,,
Chevron,CHVX34,,
PETRORIO,PRIO3,,
OSX Brasil,OSXB3,,
Dommo,DMMO3,,
Pet Manguinhos,RPMG3,,
Ultrapar,UGPA3,,
Petrobras,PETR4,PETR3,
Petrobras Distribuidora,BRDT3,,
Exxon Mobil,EXXO34,,
Enauta Part,ENAT3,,
Instituto Hermes Pardini SA,PARD3,,
Biomm,BIOM3,,
Baumer,BALM3,BALM4,
Pfizer,PFIZ34,,
Merck,MRCK34,,
Dimed,PNVL4,PNVL3,
Alliar,AALR3,,
OdontoPrev,ODPV3,,
RD,RADL3,,
Qualicorp,QUAL3,,
Ourofino S/A,OFSA3,,
Johnson,JNJB34,,
Hypera Pharma,HYPE3,,
Fleury,FLRY3,,
Bristolmyers,BMYB34,,
Abbott Laboratories,ABTT34,,
Alphabet,GOGL35,,
Locaweb,LWSA3,,
Totvs,TOTS3,,
Xerox,XRXB34,,
Qualcomm,QCOM34,,
Oracle,ORCL34,,
Microsoft,MSFT34,,
IBM,IBMB34,,
Intel,ITLC34,,
HP Company,HPQB34,,
eBay,EBAY34,,
Cisco,CSCO34,,
Att Inc,ATTB34,,
Apple,AAPL34,,
Linx,LINX3,,
Positivo Inf,POSI3,,
OI,OIBR4,,
Tim Participações,TIMS3,,
Telefônica Brasil S.A,VIVT3,,
Telebras,TELB4,TELB3,
Celpe,CEPE6,CEPE5,CEPE3
CEEE-D,CEED3,CEED4,
Ceee-gt,EEEL4,EEEL3,
Casan,CASN4,CASN3,
CEG,CEGR3,,
CEB,CEBR3,CEBR6,CEBR5
Renova,RNEW11,RNEW4,RNEW3
Coelce,COCE6,COCE5,COCE3
Celesc,CLSC4,CLSC3,
Alupar Investimento,ALUP4,ALUP3,ALUP11
Sanepar,SAPR11,SAPR4,SAPR3
Copel,CPLE5,CPLE6,CPLE3
CPFL Energia,CPFE3,,
Comgás,CGAS3,CGAS5,
AES Brasil,AESB3,,
Neoenergia,NEOE3,,
ISA CTEEP,TRPL4,TRPL3,
Engie Brasil,TAEE11,,
Taesa,SBSP3,,
Sabesp,RNEW11,,
Renaova,CESP6,CESP5,CESP3
CESP,CMIG4,CMIG3,
Cemig,AFLT3,,
